Particulars	USD	CNY	AUD	CAD	GBP	JPY	SAR	EUR	SDR	
% of TotalForeignCurrencyFinancialAssets	56.08%	16.08%	0.96%	0.68%	0.30%	0.07%	0.02%	0.12%	0.03%	
Financialassets										
Cash andbalanceswith banks	67,828,082,113	3,686,261,696	9,042,196,315	2,333,067,558	3,734,586,324	898,798,831	222,442,236	1,542,567,705		
Derivativefinancialassets										
IMF relatedassets									419,318,478	
Termdepositwithforeignbanks	525,401,278,229	58,209,114,887	2,926,852,094	6,191,331,486						
Investmentsin foreignsecurities	107,092,858,159	138,857,905,630								
Otherreceivables										
TotalFinancialassets	700,322,218,501	200,753,282,213	11,969,048,409	8,524,399,044	3,734,586,324	898,798,831	222,442,236	1,542,567,705	419,318,478	
FinancialLiabilities										
